participant_id,system,block_id,trial_id,MT,D,W,ID,De,We,IDe,TP,path_efficiency,re_entry_count,reversal_count_x,reversal_count_y,time_to_first_move,click_correct,click_error,wrong_click,spurious_click
participant_01,old_emg,1,1,1.6074,527.2589,80.0,2.9242,527.2589,751.3918,0.767,0.4772,0.6703,1,1,1,0.8419,True,False,False,False
participant_01,old_emg,2,2,2.0982,747.1553,40.0,4.2986,298.775,40.3083,3.0725,1.4644,0.7767,0,2,1,0.6058,False,True,True,False
participant_01,old_emg,2,3,5.4147,189.0423,80.0,1.7498,198.9529,72.7452,1.9011,0.3511,0.1294,0,1,1,0.0524,True,False,False,False
participant_01,old_emg,2,4,0.7198,167.0449,40.0,2.3719,298.775,40.3083,3.0725,4.2687,1.0,0,0,0,0.1389,True,False,False,False
participant_01,old_emg,2,5,0.6226,205.0,40.0,2.6147,298.775,40.3083,3.0725,4.9347,0.8011,0,1,0,0.0591,True,False,False,False
participant_01,old_emg,2,6,0.5219,201.2958,80.0,1.814,198.9529,72.7452,1.9011,3.6424,0.9962,0,0,0,0.0636,True,False,False,False
participant_01,old_emg,2,7,0.5248,201.8539,60.0,2.1257,171.6464,31.2121,2.7003,5.1455,0.9883,0,0,0,0.0618,True,False,False,False
participant_01,old_emg,2,8,0.4756,173.7728,80.0,1.6655,198.9529,72.7452,1.9011,3.9976,1.0,0,0,0,0.0489,True,False,False,False
participant_01,old_emg,2,9,0.4721,203.0665,40.0,2.6033,298.775,40.3083,3.0725,6.5083,0.9956,0,0,0,0.0635,True,False,False,False
participant_01,old_emg,2,10,0.9724,206.8647,60.0,2.1531,171.6464,31.2121,2.7003,2.7769,0.6895,0,0,3,0.0805,True,False,False,False
participant_01,old_emg,2,11,0.7562,218.2957,80.0,1.8987,198.9529,72.7452,1.9011,2.514,0.9617,0,0,0,0.2283,True,False,False,False
participant_01,old_emg,2,12,0.5383,197.7726,60.0,2.1031,171.6464,31.2121,2.7003,5.0167,1.0,0,0,0,0.1487,True,False,False,False
participant_01,old_emg,2,13,0.5073,135.6245,120.0,1.091,143.0048,77.2463,1.5116,2.9795,1.0,0,0,0,0.0455,True,False,False,False
participant_01,old_emg,2,14,0.6904,198.1767,40.0,2.574,298.775,40.3083,3.0725,4.4503,0.6343,0,1,0,0.0608,True,False,False,False
participant_01,old_emg,2,15,0.5198,149.2716,120.0,1.166,143.0048,77.2463,1.5116,2.9082,0.9267,0,0,1,0.0461,True,False,False,False
participant_01,old_emg,2,16,1.325,186.3008,80.0,1.735,198.9529,72.7452,1.9011,1.4347,0.5617,1,1,1,0.7575,True,False,False,False
participant_01,old_emg,2,17,0.5897,198.2978,120.0,1.4073,143.0048,77.2463,1.5116,2.5631,0.6507,1,1,1,0.0503,True,False,False,False
participant_01,old_emg,2,18,0.3725,96.0469,120.0,0.8483,143.0048,77.2463,1.5116,4.0582,1.0,0,0,0,0.0482,True,False,False,False
participant_01,old_emg,2,19,0.672,192.0026,60.0,2.0704,171.6464,31.2121,2.7003,4.0181,0.8691,0,0,1,0.0603,True,False,False,False
participant_01,old_emg,2,20,0.7543,81.3941,60.0,1.2367,171.6464,31.2121,2.7003,3.5798,0.8746,0,0,2,0.0493,True,False,False,False
participant_01,old_emg,2,21,0.5558,188.5577,120.0,1.3625,143.0048,77.2463,1.5116,2.7199,1.0,0,1,0,0.1221,True,False,False,False
